total,pospercent,BTC_change,VXX_change,XAU_change,change
500,0.776,2049.25,-0.26500000000000057,1.1042500000000928,0.059183270862111066
634,0.7823343848580442,384.0,0.0,0.9232499999998254,0.05257623554152943
283,0.7985865724381626,-703.0,-0.259999999999998,2.468249999999898,0.026267402153938666
262,0.7480916030534351,-795.5,-0.8399999999999999,5.0092500000000655,0.006573757559820469
714,0.6778711484593838,-99.25,0.0,-0.3277499999999236,-0.039481476607235375
182,0.7912087912087912,-747.5,0.0,25.64949999999999,0.052448698616659795
296,0.7094594594594594,792.0,1.245000000000001,4.316250000000082,-0.059245605950885454
182,0.7362637362637363,-2.75,0.0,-0.6525000000001455,-0.10521470375486734
302,0.695364238410596,-1940.25,0.9249999999999972,14.243749999999864,0.05908225562921951
384,0.671875,350.5,0.22749999999999915,7.408999999999878,-0.03293373732050751
240,0.7083333333333334,-2601.25,1.8324999999999996,-1.683999999999969,-0.006583278472693286
388,0.7628865979381443,126.75,0.07249999999999801,5.549749999999904,-0.006564264146003087
171,0.783625730994152,3345.0,1.2950000000000017,16.002500000000055,0.01310358383017611
238,0.7983193277310925,440.75,-0.3450000000000024,-15.210000000000036,0.05930025696778829
132,0.803030303030303,-271.25,0.34750000000000014,9.733999999999924,-0.013158760444764654
594,0.6734006734006734,-2809.0,0.7824999999999989,-1.8925000000001546,0.052669695174148004
290,0.7241379310344828,1042.75,-0.6374999999999993,12.0324999999998,-0.059113300492604326
266,0.7744360902255639,90.0,-1.1000000000000014,-10.848250000000007,-0.01976675232259122
239,0.702928870292887,-205.75,0.08750000000000213,-0.7862499999998818,0.07216900669204178
280,0.7428571428571429,-411.25,0.7324999999999982,-3.7274999999999636,0.006574189731100318
208,0.7211538461538461,2340.25,0.020000000000003126,0.060750000000098225,-0.013150108488408179
362,0.7845303867403315,-2002.25,1.2300000000000004,23.487499999999955,-0.013127666557267999
570,0.7491228070175439,-805.0,0.0,4.579999999999927,0.006556087327082474
182,0.7142857142857143,493.5,-0.5199999999999996,-2.847500000000082,0.07902015013827655
968,0.762396694214876,-279.75,1.2850000000000001,0.43099999999981264,0.03284719484955623
288,0.75,437.5,-0.7550000000000026,12.81750000000011,-0.006567713122290095
225,0.7288888888888889,968.0,-2.3424999999999976,-10.793750000000045,0.0
242,0.6446280991735537,403.25,-1.9024999999999999,5.579999999999927,0.01972516273260497
158,0.7341772151898734,89.25,0.0,-0.7509999999999764,0.05263850506645031
188,0.7340425531914894,-696.75,1.6674999999999969,2.512499999999818,-0.026293301781368298
376,0.6648936170212766,-603.25,1.3875000000000028,15.875,0.01313025210083889
213,0.7276995305164319,-1549.75,0.0,4.236750000000029,-0.0065556575324497825
182,0.6923076923076923,-434.0,0.0,0.5550000000000637,0.0
