time,BTC_price,SPY_price,VXX_price,XAU_price,XRP_price,vader_int,pos,neu,neg,dom,total
2022-02-10,43967.5,450.35,20.1225,1829.7775,0.7611,130.0,308.0,482.0,178.0,Neutral,968.0
2022-02-11,42964.5,444.94,21.8375,1842.775,0.76135,92.0,178.0,192.0,86.0,Neutral,456.0
2022-02-12,42361.25,440.48,23.225,1858.65,0.7616,90.0,162.0,142.0,72.0,Positive,376.0
2022-02-13,42211.25,440.48,23.225,1859.83275,0.7617,240.0,358.0,298.0,118.0,Positive,774.0
2022-02-14,42338.0,439.49,23.2975,1865.3825,0.7617,82.0,150.0,170.0,68.0,Neutral,388.0
2022-02-15,43552.25,444.8975,21.5375,1862.0825,0.7616499999999999,54.0,102.0,108.0,48.0,Neutral,258.0
2022-02-16,44224.5,445.3,21.1125,1861.525,0.7617,102.0,154.0,152.0,52.0,Positive,358.0
2022-02-17,42222.25,440.1625,22.3425,1885.0125,0.76175,72.0,132.0,170.0,60.0,Neutral,362.0
2022-02-18,40282.0,435.7275,23.2675,1899.25625,0.76165,40.0,118.0,106.0,78.0,Positive,302.0
2022-02-19,40076.25,434.115,23.355,1898.47,0.7621,58.0,92.0,113.0,34.0,Neutral,239.0
2022-02-20,39271.25,434.115,23.355,1903.05,0.76265,109.0,213.0,253.0,104.0,Neutral,570.0
2022-02-21,37721.5,434.115,23.355,1907.28675,0.7627,50.0,94.0,75.0,44.0,Positive,213.0
2022-02-22,37650.25,430.8425,23.5525,1903.9225,0.76265,24.0,85.0,75.0,61.0,Positive,221.0
2022-02-23,37772.0,427.355,23.685,1904.54375,0.76265,22.0,83.0,102.0,61.0,Neutral,246.0
2022-02-24,37828.0,419.425,25.685,1908.71875,0.76265,10.0,41.0,46.0,31.0,Neutral,118.0
2022-02-25,38796.0,433.6625,23.3425,1897.925,0.7628,25.0,89.0,72.0,64.0,Positive,225.0
2022-02-26,39182.5,437.695,22.94,1889.235,0.7628,29.0,62.0,66.0,33.0,Neutral,161.0
2022-02-27,38435.0,437.695,22.94,1914.8845,0.76265,20.0,59.0,84.0,39.0,Neutral,182.0
2022-02-28,40469.0,434.3225,24.3675,1908.3525,0.76305,22.0,51.0,59.0,29.0,Neutral,139.0
2022-03-01,43814.0,432.5700000000001,25.6625,1924.355,0.76315,18.0,55.0,79.0,37.0,Neutral,171.0
2022-03-02,44200.5,435.1425,25.6075,1935.6275,0.76325,0.0,0.0,0.0,0.0,0,0.0
