total,pospercent,BTC_change,VXX_change,XAU_change,change
18,0.6666666666666666,68.5,0.0,0.0,0.18280016618196757
8,0.5,62.0,0.0,0.0,-0.13192612137204374
20,0.7,-78.75,0.0,-0.07150000000001455,0.0719424460431753
14,0.8571428571428571,-109.0,0.0,0.0,-0.662477803578749
10,0.8,-109.25,0.21499999999999986,7.160499999999956,-0.8807865628840579
16,0.875,57.0,0.0,0.0,-0.32841779895679724
4,0.5,-75.5,0.0,0.0,0.5815009994548326
48,0.8333333333333334,-42.25,0.0,0.0,1.0293556995806326
10,1.0,-103.0,0.0,-0.591499999999769,0.2237887434262059
12,0.6666666666666666,12.0,0.0,0.0,0.1972386587771137
10,0.9,7.0,0.0,0.0,-0.22285896211398018
2,1.0,-179.25,0.0,-0.6175000000000637,-0.704624095627562
4,1.0,-61.0,0.0,0.0,-0.05667098445595231
18,1.0,125.75,0.0,0.0,-0.701647345942652
4,1.0,-73.25,0.0,0.0,0.05833171300797997
20,0.5,173.5,0.0,0.0,0.5771119842829122
38,0.8421052631578947,500.75,0.0,2.173999999999978,-0.8925592258925537
4,0.75,1.5,0.3125,0.1362500000000182,-0.2412383568987352
2,1.0,-29.75,0.0,-0.33425000000011096,-0.4764489475906302
11,0.8181818181818182,1388.0,-0.41499999999999915,-4.479999999999791,0.19929283188685973
20,0.7,-227.25,0.0,-1.5839999999998327,0.024666995559938083
10,0.4,-491.75,0.0,-2.4282499999999345,-1.2281160177684967
2,1.0,56.75,0.0,-1.3585000000000491,-0.011188185276359366
5,0.6,-498.25,0.0,0.0,-0.032135741371549904
4,0.5,-90.75,0.0,-0.13149999999995998,-1.0377226195484606
10,0.9,-122.0,0.03999999999999915,1.6100000000001273,0.34120734908135636
14,0.5714285714285714,94.25,0.0,0.8029999999998836,-1.5793918918918868
10,0.8,-80.75,0.3000000000000007,-1.2010000000000218,0.06337581860431665
20,0.6,332.5,-0.28999999999999915,3.373249999999871,-0.6329540098309928
10,0.6,88.0,0.0,-0.12950000000000728,-0.502152080344321
10,0.6,132.75,0.0,0.0,-0.09686312495342053
22,0.6363636363636364,115.5,0.0,0.0,-0.09751340809360214
24,0.4166666666666667,-226.0,0.0,0.0,0.03888024883358825
30,0.8,248.25,0.0,0.0,-0.12198253723677535
40,0.65,-290.25,-0.34750000000000014,2.093499999999949,0.20740003318400088
16,0.75,-126.0,0.0,0.0,-0.5812653699977666
14,1.0,-87.0,0.0,-0.11999999999989086,-2.4025206774320575
12,0.6666666666666666,-304.25,0.0,0.0,-0.21462105969148837
12,0.6666666666666666,14.25,0.0,0.7889999999999873,0.13421960884571077
2,1.0,-50.5,0.0,0.33674999999993815,-1.450747953711547
12,0.5,27.25,0.0,2.505000000000109,-0.12306934957848759
8,0.625,-98.5,0.0,0.0,-1.7559920106524733
6,0.6666666666666666,-213.25,0.0,1.6085000000000491,0.9311348205625586
5,1.0,-446.5,0.177500000000002,0.08999999999991815,0.06727664155006136
4,1.0,-52.25,0.0,-2.4400000000000546,-0.4101722723543983
10,1.0,-42.75,0.0,0.0,-0.6151142355008861
18,0.1111111111111111,-78.75,0.0,0.0,1.2097461237008
18,1.0,463.25,0.0,-0.035499999999956344,-1.0156056477582527
4,1.0,59.0,0.0,0.2495000000001255,0.12178522816819347
20,0.8,140.5,0.004999999999999005,1.1259999999999764,0.377800937988523
22,0.6363636363636364,304.75,0.0,0.0,0.04863813229572991
14,0.5714285714285714,-7.75,0.0,-2.8740000000000236,-0.8050424363454625
3,0.6666666666666666,72.5,0.0,0.0,0.45700041545492814
14,0.7142857142857143,20.5,0.0,0.0,-0.1298490504788401
4,0.0,17.0,0.0,-0.4624999999998636,0.20588969303718996
4,1.0,-713.0,0.0,0.0,0.07775545908120987
6,0.3333333333333333,-303.25,0.0,0.029999999999972715,0.1131221719456889
6,1.0,66.5,0.0,2.1914999999999054,0.38216560509553704
6,1.0,-178.75,0.5425000000000004,-1.9954999999999927,-0.30978557978497867
10,0.8,284.0,0.0,-0.2367500000000291,-2.0021989468202053
28,0.7857142857142857,59.0,0.0,-0.14750000000003638,-0.05718487051710832
18,0.5555555555555556,109.0,0.0,-1.6472499999999854,0.7293616471955133
14,0.5714285714285714,480.5,0.0,-0.12400000000002365,-1.120782162871119
14,0.8571428571428571,82.75,0.0,1.4500000000000455,-0.5711926226687906
8,0.5,29.25,0.0,0.19699999999988904,-0.007198905766322726
16,0.875,410.75,-0.4125000000000014,2.954250000000002,-0.09796878061524766
22,0.5454545454545454,-17.25,0.0,-0.7742500000001655,-1.7448714925725108
6,0.5,334.0,-0.134999999999998,5.610500000000002,-0.32979824107604
18,0.8888888888888888,27.75,0.14000000000000057,-0.21325000000001637,-0.3725782414306962
10,0.8,-294.25,0.0,0.0,-0.382116927779901
8,1.0,126.75,0.22500000000000142,2.9707499999999527,-0.5345891936612972
2,0.5,357.5,0.0,-1.9832499999999982,0.40584415584414113
20,0.9,101.75,-0.2700000000000031,1.6679999999998927,-0.2813731007315569
6,0.5,-238.25,0.0,2.812750000000051,0.2552690142688698
10,0.8,-45.25,0.0,0.0,-0.33082706766916986
8,0.5,162.5,0.0,-6.760250000000042,-0.15152513340799584
16,0.75,-123.0,0.0,1.344000000000051,-0.22442872687706084
28,0.7142857142857143,-235.5,0.6649999999999991,-0.14599999999995816,0.5347593582887832
3,0.6666666666666666,43.5,0.0,-1.552500000000009,0.25162230168189814
8,1.0,-11.5,0.0,0.0,0.11361791916897158
62,0.6774193548387096,-254.5,0.0,0.0,-0.3414356556377515
