Date,Close/Last,Volume,Open,High,Low
2022-01-03,1800.1,163300.0,1830.1,1833.0,1798.2
2022-01-04,1814.6,162124.0,1801.1,1817.2,1798.1
2022-01-05,1825.1,167651.0,1815.2,1830.7,1808.2
2022-01-06,1789.2,233180.0,1810.6,1811.6,1785.4
2022-01-07,1797.4,218941.0,1791.0,1798.4,1781.3
2022-01-10,1798.8,153934.0,1796.4,1802.0,1789.3
2022-01-11,1818.5,165152.0,1801.3,1823.1,1799.7
2022-01-12,1827.3,173549.0,1821.3,1828.2,1814.4
2022-01-13,1821.4,197305.0,1825.7,1828.3,1811.8
2022-01-14,1816.5,164913.0,1822.1,1829.3,1814.2
2022-01-18,1812.4,347305.0,1818.7,1822.9,1804.7
2022-01-19,1845.5,84788.0,1816.4,1846.1,1811.6
2022-01-20,1844.9,78202.0,1842.9,1850.8,1838.4
2022-01-21,1834.1,66596.0,1842.6,1845.8,1830.6
2022-01-24,1844.2,100586.0,1838.3,1847.2,1831.9
2022-01-25,1855.0,71595.0,1846.0,1856.7,1836.8
2022-01-26,1832.0,146441.0,1850.7,1852.6,1816.4
2022-01-27,1795.0,198030.0,1821.4,1823.8,1792.7
2022-01-28,1786.6,211839.0,1799.6,1800.3,1780.6
2022-01-31,1796.4,134623.0,1792.8,1800.9,1785.8
2022-02-01,1801.5,125228.0,1798.9,1809.7,1796.2
2022-02-02,1810.3,120057.0,1800.8,1812.0,1794.6
2022-02-03,1804.1,168783.0,1807.4,1809.5,1788.5
2022-02-04,1807.8,175521.0,1805.4,1815.8,1792.1
2022-02-07,1821.8,137112.0,1808.0,1824.6,1807.5
2022-02-08,1827.9,138151.0,1821.5,1829.9,1816.0
2022-02-09,1836.6,128735.0,1827.0,1837.1,1825.5
2022-02-10,1837.4,221886.0,1834.0,1843.3,1821.8
2022-02-11,1842.1,232425.0,1827.0,1867.4,1821.1
2022-02-14,1869.4,220292.0,1862.2,1876.5,1851.9
2022-02-15,1856.2,208428.0,1873.8,1881.6,1845.4
2022-02-16,1871.5,136348.0,1855.5,1874.6,1851.8
2022-02-17,1902.0,251680.0,1872.0,1904.0,1869.7
2022-02-18,1899.8,155484.0,1901.4,1905.0,1888.0
2022-02-22,1907.4,323210.0,1903.5,1918.3,1889.7
2022-02-23,1910.4,151417.0,1901.2,1912.9,1891.1
2022-02-24,1926.3,409954.0,1911.9,1976.5,1878.6
2022-02-25,1887.6,220963.0,1906.5,1925.0,1884.4
2022-02-28,1900.7,239416.0,1921.0,1935.2,1892.2
2022-03-01,1943.8,215091.0,1908.4,1952.6,1903.0
2022-03-02,1922.3,221028.0,1945.3,1951.4,1916.0
2022-03-03,1935.9,170994.0,1931.7,1944.6,1923.1
