time,BTC_price,SPY_price,VXX_price,XAU_price,XRP_price,labels,pos,neg,dom,total
2022-01-26,36914.5,437.13,23.5325,1835.79425,0.75885,206.0,206.0,60.0,Positive,266.0
2022-01-27,37026.5,434.775,23.825000000000003,1809.6675,0.7587,268.0,268.0,134.0,Positive,402.0
2022-01-28,37467.25,437.2975,23.48,1794.4575,0.75885,190.0,190.0,48.0,Positive,238.0
2022-01-29,37960.75,441.9,22.96,1791.61,0.7593000000000001,130.0,130.0,52.0,Positive,182.0
2022-01-30,38050.0,441.9,22.96,1790.859,0.7599,116.0,116.0,42.0,Positive,158.0
2022-01-31,38206.0,445.6575,22.315,1793.75825,0.7603,140.0,140.0,92.0,Positive,232.0
2022-02-01,38609.25,451.9825,20.4125,1799.33825,0.76045,156.0,156.0,86.0,Positive,242.0
2022-02-02,37813.75,456.3875000000001,19.5725,1804.3475,0.7606,196.0,196.0,66.0,Positive,262.0
2022-02-03,37117.0,448.72,21.24,1806.86,0.76065,138.0,138.0,50.0,Positive,188.0
2022-02-04,39457.25,447.79,21.26,1806.92075,0.7604500000000001,150.0,150.0,58.0,Positive,208.0
2022-02-05,41506.5,449.195,20.995,1808.025,0.76035,388.0,388.0,112.0,Positive,500.0
2022-02-06,41890.5,449.195,20.995,1808.94825,0.7608,496.0,496.0,138.0,Positive,634.0
2022-02-07,43111.5,448.3775,20.4675,1816.1175,0.7612,144.0,144.0,52.0,Positive,196.0
2022-02-08,43962.25,448.8,19.8625,1824.035,0.7611,1394.0,1394.0,422.0,Positive,1816.0
2022-02-09,44247.25,456.3625,18.8375,1829.3465,0.76085,1270.0,1270.0,364.0,Positive,1634.0
2022-02-10,43967.5,450.35,20.1225,1829.7775,0.7611,738.0,738.0,230.0,Positive,968.0
2022-02-11,42964.5,444.94,21.8375,1842.775,0.76135,344.0,344.0,112.0,Positive,456.0
2022-02-12,42361.25,440.48,23.225,1858.65,0.7616,250.0,250.0,126.0,Positive,376.0
2022-02-13,42211.25,440.48,23.225,1859.83275,0.7617,606.0,606.0,168.0,Positive,774.0
2022-02-14,42338.0,439.49,23.2975,1865.3825,0.7617,296.0,296.0,92.0,Positive,388.0
2022-02-15,43552.25,444.8975,21.5375,1862.0825,0.7616499999999999,180.0,180.0,78.0,Positive,258.0
2022-02-16,44224.5,445.3,21.1125,1861.525,0.7617,278.0,278.0,80.0,Positive,358.0
2022-02-17,42222.25,440.1625,22.3425,1885.0125,0.76175,284.0,284.0,78.0,Positive,362.0
2022-02-18,40282.0,435.7275,23.2675,1899.25625,0.76165,210.0,210.0,92.0,Positive,302.0
2022-02-19,40076.25,434.115,23.355,1898.47,0.7621,168.0,168.0,71.0,Positive,239.0
2022-02-20,39271.25,434.115,23.355,1903.05,0.76265,427.0,427.0,143.0,Positive,570.0
2022-02-21,37721.5,434.115,23.355,1907.28675,0.7627,155.0,155.0,58.0,Positive,213.0
2022-02-22,37650.25,430.8425,23.5525,1903.9225,0.76265,156.0,156.0,65.0,Positive,221.0
2022-02-23,37772.0,427.355,23.685,1904.54375,0.76265,165.0,165.0,81.0,Positive,246.0
2022-02-24,37828.0,419.425,25.685,1908.71875,0.76265,92.0,92.0,26.0,Positive,118.0
2022-02-25,38796.0,433.6625,23.3425,1897.925,0.7628,164.0,164.0,61.0,Positive,225.0
2022-02-26,39182.5,437.695,22.94,1889.235,0.7628,132.0,132.0,29.0,Positive,161.0
2022-02-27,38435.0,437.695,22.94,1914.8845,0.76265,144.0,144.0,38.0,Positive,182.0
2022-02-28,40469.0,434.3225,24.3675,1908.3525,0.76305,91.0,91.0,48.0,Positive,139.0
2022-03-01,43814.0,432.5700000000001,25.6625,1924.355,0.76315,134.0,134.0,37.0,Positive,171.0
2022-03-02,44200.5,435.1425,25.6075,1935.6275,0.76325,0.0,0.0,0.0,0,0.0
