total,pospercent,BTC_change,BTC_change_L1,BTC_change_L2,BTC_change_L3,BTC_change_L4,SPY_change,SPY_change_L1,SPY_change_L2,SPY_change_L3,SPY_change_L4,VXX_change_L1,VXX_change_L2,VXX_change_L3,VXX_change_L4,XAU_change,XAU_change_L1,XAU_change_L2,XAU_change_L3,XAU_change_L4,change_L1,change_L2,change_L3,change_L4,change
8,0.75,-0.002190685397226333,0.0004670854466952701,-0.012973733361704154,-0.014009977155112097,0.00016320440185579876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000751506955625314,-0.0005679816750955302,0.00026963039712391,0.0005880086980067922,-9.810813190813672e-05,0.017320534223706163,0.00693422988022685,-0.006126000696136336,-0.004849324558365065,0.009230769230769376
12,0.8333333333333334,-0.0017216040310727987,-0.002190685397226333,0.0004670854466952701,-0.012973733361704154,-0.014009977155112097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00024156791821650092,-0.000751506955625314,-0.0005679816750955302,0.00026963039712391,0.0005880086980067922,0.009230769230769376,0.017320534223706163,0.00693422988022685,-0.006126000696136336,0.006707317073170849
5,0.6,0.0067721039791368565,-0.0017216040310727987,-0.002190685397226333,0.0004670854466952701,-0.012973733361704154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018478125907406273,-0.00024156791821650092,-0.000751506955625314,-0.0005679816750955302,0.00026963039712391,0.006707317073170849,0.009230769230769376,0.017320534223706163,0.00693422988022685,0.0008075913587723971
7,0.8571428571428571,0.00858873735414356,0.0067721039791368565,-0.0017216040310727987,-0.002190685397226333,0.0004670854466952701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008769553450986844,0.00018478125907406273,-0.00024156791821650092,-0.000751506955625314,-0.0005679816750955302,0.0008075913587723971,0.006707317073170849,0.009230769230769376,0.017320534223706163,0.0024880640172149082
10,1.0,0.001260474364436881,0.00858873735414356,0.0067721039791368565,-0.0017216040310727987,-0.002190685397226333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022602275295713348,0.0008769553450986844,0.00018478125907406273,-0.00024156791821650092,-0.000751506955625314,0.0024880640172149082,0.0008075913587723971,0.006707317073170849,0.009230769230769376,0.0011403273410248715
4,0.5,-0.002074504867107585,0.001260474364436881,0.00858873735414356,0.0067721039791368565,-0.0017216040310727987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.41647975181403e-05,0.00022602275295713348,0.0008769553450986844,0.00018478125907406273,-0.00024156791821650092,0.0011403273410248715,0.0024880640172149082,0.0008075913587723971,0.006707317073170849,-0.0038860971524289356
7,0.7142857142857143,0.0026059249256720207,-0.002074504867107585,0.001260474364436881,0.00858873735414356,0.0067721039791368565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005533161308319823,6.41647975181403e-05,0.00022602275295713348,0.0008769553450986844,0.00018478125907406273,-0.0038860971524289356,0.0011403273410248715,0.0024880640172149082,0.0008075913587723971,-0.0018161027779646233
5,0.0,-0.009008423614474959,0.0026059249256720207,-0.002074504867107585,0.001260474364436881,0.00858873735414356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011405990315026537,-0.0005533161308319823,6.41647975181403e-05,0.00022602275295713348,0.0008769553450986844,-0.0018161027779646233,-0.0038860971524289356,0.0011403273410248715,0.0024880640172149082,-0.0030323450134771557
6,0.6666666666666666,-0.006038352179588813,-0.009008423614474959,0.0026059249256720207,-0.002074504867107585,0.001260474364436881,0.0006838118235339419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004613432885869351,-0.0011405990315026537,-0.0005533161308319823,6.41647975181403e-05,0.00022602275295713348,-0.0030323450134771557,-0.0018161027779646233,-0.0038860971524289356,0.0011403273410248715,-6.75904021627538e-05
4,1.0,-0.001841101542447321,-0.006038352179588813,-0.009008423614474959,0.0026059249256720207,-0.002074504867107585,-0.0028454893921437963,0.0006838118235339419,0.0,0.0,0.0,-0.010962084085633372,0.0,0.0,0.0,-2.178569523314522e-05,0.0004613432885869351,-0.0011405990315026537,-0.0005533161308319823,6.41647975181403e-05,-6.75904021627538e-05,-0.0030323450134771557,-0.0018161027779646233,-0.0038860971524289356,-0.0007435446802758205
12,0.6666666666666666,0.003214352232923323,-0.001841101542447321,-0.006038352179588813,-0.009008423614474959,0.0026059249256720207,-0.0010707727231356046,-0.0028454893921437963,0.0006838118235339419,0.0,0.0,0.009388446994393007,-0.010962084085633372,0.0,0.0,0.0008534313077874778,-2.178569523314522e-05,0.0004613432885869351,-0.0011405990315026537,-0.0005533161308319823,-0.0007435446802758205,-6.75904021627538e-05,-0.0030323450134771557,-0.0018161027779646233,0.004599878238517263
20,0.6,0.007965216558068144,0.003214352232923323,-0.001841101542447321,-0.006038352179588813,-0.009008423614474959,0.002143841012750558,-0.0010707727231356046,-0.0028454893921437963,0.0006838118235339419,0.0,0.004263015114326363,0.009388446994393007,-0.010962084085633372,0.0,0.001882757233991894,0.0008534313077874778,-2.178569523314522e-05,0.0004613432885869351,-0.0011405990315026537,0.004599878238517263,-0.0007435446802758205,-6.75904021627538e-05,-0.0030323450134771557,-0.006329540098309883
