Gmt time,Open,High,Low,Close,Volume
01.01.2022 00:00:00.000,18.526,18.526,18.526,18.526,0
02.01.2022 00:00:00.000,18.526,18.526,18.526,18.526,0
03.01.2022 00:00:00.000,18.266,18.637,17.876,17.887,5905074264.5263
04.01.2022 00:00:00.000,17.756,18.406,17.706,17.886,5805130706.787199
05.01.2022 00:00:00.000,17.996,19.297,17.596,19.256,10523155090.3321
06.01.2022 00:00:00.000,19.336,19.686,18.797,19.377,14048158935.5469
07.01.2022 00:00:00.000,19.316,19.847,18.727,18.806,10422172912.5977
08.01.2022 00:00:00.000,18.806,18.806,18.806,18.806,0
09.01.2022 00:00:00.000,18.806,18.806,18.806,18.806,0
10.01.2022 00:00:00.000,19.526,20.596,18.406,18.477,16021232421.875101
11.01.2022 00:00:00.000,18.696,19.107,17.766,17.796,13355151062.011799
12.01.2022 00:00:00.000,17.577,17.966,17.286,17.656,6361026245.1172
13.01.2022 00:00:00.000,17.556,18.877,17.396,18.716,8864024230.9571
14.01.2022 00:00:00.000,19.346,19.456,18.286,18.397,13779048950.1955
15.01.2022 00:00:00.000,18.397,18.397,18.397,18.397,0
16.01.2022 00:00:00.000,18.397,18.397,18.397,18.397,0
17.01.2022 00:00:00.000,18.397,18.397,18.397,18.397,0
18.01.2022 00:00:00.000,19.237,20.036,19.206,19.867,12114305541.992199
19.01.2022 00:00:00.000,19.436,20.526,19.366,20.356,12269750976.5625
20.01.2022 00:00:00.000,19.857,21.377,19.076,21.217,11191250976.5625
21.01.2022 00:00:00.000,21.577,23.217,21.146,23.147,40103253662.1094
22.01.2022 00:00:00.000,23.147,23.147,23.147,23.147,0
23.01.2022 00:00:00.000,23.147,23.147,23.147,23.147,0
24.01.2022 00:00:00.000,24.986,27.817,23.296,23.787,92323012207.0313
25.01.2022 00:00:00.000,25.306,26.217,23.147,23.926,70017376953.12509
26.01.2022 00:00:00.000,22.786,24.857,21.756,24.246,47494804687.5001
27.01.2022 00:00:00.000,23.047,25.117,22.646,24.567,63866703613.281296
28.01.2022 00:00:00.000,23.977,25.027,22.856,22.947,48092704589.8439
29.01.2022 00:00:00.000,22.947,22.947,22.947,22.947,0
30.01.2022 00:00:00.000,22.947,22.947,22.947,22.947,0
31.01.2022 00:00:00.000,23.197,23.387,21.406,21.406,19552430908.2032
01.02.2022 00:00:00.000,21.007,21.586,19.797,19.797,17179019165.0392
02.02.2022 00:00:00.000,19.696,20.227,19.296,19.427,15551211791.9923
03.02.2022 00:00:00.000,20.626,21.827,20.087,21.826,21480440673.8282
04.02.2022 00:00:00.000,21.506,22.147,20.296,20.987,24746528320.3125
05.02.2022 00:00:00.000,20.987,20.987,20.987,20.987,0
06.02.2022 00:00:00.000,20.987,20.987,20.987,20.987,0
07.02.2022 00:00:00.000,20.467,20.737,19.966,20.436,13707829345.703098
08.02.2022 00:00:00.000,20.216,20.577,19.407,19.476,8283768157.959002
09.02.2022 00:00:00.000,18.916,19.137,18.716,18.736,3042971084.5947
10.02.2022 00:00:00.000,19.706,20.957,18.786,20.517,18975985107.421898
11.02.2022 00:00:00.000,20.436,23.867,20.286,23.197,36301241577.1485
12.02.2022 00:00:00.000,23.197,23.197,23.197,23.197,0
13.02.2022 00:00:00.000,23.197,23.197,23.197,23.197,0
14.02.2022 00:00:00.000,23.286,24.786,23.016,23.277,34251740966.797
15.02.2022 00:00:00.000,21.656,22.217,21.326,21.387,10549162902.8321
16.02.2022 00:00:00.000,21.687,22.126,20.456,20.517,12688547363.281399
17.02.2022 00:00:00.000,21.707,23.067,21.616,22.946,17553882568.359398
18.02.2022 00:00:00.000,23.156,24.067,22.796,23.347,33899347900.390797
19.02.2022 00:00:00.000,23.347,23.347,23.347,23.347,0
20.02.2022 00:00:00.000,23.347,23.347,23.347,23.347,0
21.02.2022 00:00:00.000,23.347,23.347,23.347,23.347,0
22.02.2022 00:00:00.000,23.747,24.607,22.876,23.327,37306607421.87511
23.02.2022 00:00:00.000,22.706,24.757,22.646,24.636,32424978271.4845
24.02.2022 00:00:00.000,27.356,27.436,23.756,23.977,59051314941.406296
25.02.2022 00:00:00.000,23.717,24.197,22.616,22.927,24107749511.7189
26.02.2022 00:00:00.000,22.927,22.927,22.927,22.927,0
27.02.2022 00:00:00.000,22.927,22.927,22.927,22.927,0
28.02.2022 00:00:00.000,24.677,24.967,23.536,24.027,33771126708.9845
01.03.2022 00:00:00.000,24.647,26.966,24.306,26.647,32302301113.128284
02.03.2022 00:00:00.000,26.276,26.477,24.686,24.897,26176507207.155216
03.03.2022 00:00:00.000,24.646,25.756,24.326,25.126,30398286241.530186
04.03.2022 00:00:00.000,26.487,27.307,26.146,26.197,34292215188.98174
05.03.2022 00:00:00.000,26.197,26.197,26.197,26.197,0
06.03.2022 00:00:00.000,26.197,26.197,26.197,26.197,0
07.03.2022 00:00:00.000,26.267,28.526,26.247,28.476,30098179203.03303
08.03.2022 00:00:00.000,28.226,29.347,26.667,28.106,53897345611.5727
09.03.2022 00:00:00.000,26.647,27.206,26.266,27.056,17521874069.21401
10.03.2022 00:00:00.000,27.376,27.517,25.806,25.816,18250282806.396206
11.03.2022 00:00:00.000,25.027,26.417,24.986,26.397,15977438961.983109
12.03.2022 00:00:00.000,26.397,26.397,26.397,26.397,0
